Time,Day_Id,CW_state,Max_capacity,Duration
"2020-10-18 19:04:26",1,2,0,46550
"2020-10-19 08:00:16",2,3,0,222
"2020-10-19 08:03:58",2,2,0,4
"2020-10-19 08:04:02",2,1,0,2
"2020-10-19 08:04:04",2,3,0,153
"2020-10-19 08:06:37",2,2,0,2
"2020-10-19 08:06:39",2,1,0,5
"2020-10-19 08:06:44",2,2,0,161
"2020-10-19 08:09:25",2,1,0,3
"2020-10-19 08:09:28",2,3,0,760
"2020-10-19 08:22:08",2,2,0,250
"2020-10-19 08:26:18",2,1,0,5
"2020-10-19 08:26:23",2,2,0,3775
"2020-10-19 09:29:18",2,3,0,397
"2020-10-19 09:35:55",2,4,0,37
"2020-10-19 09:36:32",2,1,0,69
"2020-10-19 09:37:41",2,2,1,5
"2020-10-19 09:37:46",2,3,1,1064
"2020-10-19 09:55:30",2,2,0,8
"2020-10-19 09:55:38",2,1,0,5
"2020-10-19 09:55:43",2,3,0,2900
"2020-10-19 10:44:03",2,4,0,37
"2020-10-19 10:44:40",2,1,0,25
"2020-10-19 10:45:05",2,2,1,5
"2020-10-19 10:45:10",2,3,1,305
"2020-10-19 10:50:15",2,2,0,4929
"2020-10-19 12:12:24",2,1,0,3
"2020-10-19 12:12:27",2,3,0,3354
"2020-10-19 13:08:21",2,4,0,34
"2020-10-19 13:08:55",2,1,0,36
"2020-10-19 13:09:31",2,2,1,5
"2020-10-19 13:09:36",2,3,1,114
"2020-10-19 13:11:30",2,4,0,276
"2020-10-19 13:16:06",2,1,0,99
"2020-10-19 13:17:45",2,2,1,6
"2020-10-19 13:17:51",2,3,1,207
"2020-10-19 13:21:18",2,2,0,13
"2020-10-19 13:21:31",2,1,0,5
"2020-10-19 13:21:36",2,3,0,197
"2020-10-19 13:24:53",2,2,0,630
"2020-10-19 13:35:23",2,1,0,4
"2020-10-19 13:35:27",2,3,0,253
"2020-10-19 13:39:40",2,2,0,7
"2020-10-19 13:39:47",2,1,0,4
"2020-10-19 13:39:51",2,3,0,366
"2020-10-19 13:45:57",2,4,0,34
"2020-10-19 13:46:31",2,1,0,32
"2020-10-19 13:47:03",2,2,1,5
"2020-10-19 13:47:08",2,3,1,386
"2020-10-19 13:53:34",2,4,0,33
"2020-10-19 13:54:07",2,1,0,32
"2020-10-19 13:54:39",2,2,1,5
"2020-10-19 13:54:44",2,3,1,119
"2020-10-19 13:56:43",2,4,0,36200
"2020-10-20 08:00:44",3,2,0,320
"2020-10-20 08:06:04",3,1,0,35
"2020-10-20 08:06:39",3,2,0,127
"2020-10-20 08:08:46",3,1,0,2
"2020-10-20 08:08:48",3,2,0,2
"2020-10-20 08:08:50",3,1,0,5
"2020-10-20 08:08:55",3,2,0,66
"2020-10-20 08:10:01",3,1,0,5
"2020-10-20 08:10:06",3,2,0,58
"2020-10-20 08:11:04",3,1,0,2889
"2020-10-20 08:59:13",3,2,1,60
"2020-10-20 09:00:13",3,3,1,785
"2020-10-20 09:13:18",3,2,0,101
"2020-10-20 09:14:59",3,1,0,2
"2020-10-20 09:15:01",3,3,0,1148
"2020-10-20 09:34:09",3,2,0,582
"2020-11-06 09:01:38",6,4,0,18279
"2020-11-06 14:06:17",6,1,0,17
"2020-11-06 14:06:34",6,2,0,1042
"2020-11-06 14:23:56",6,3,0,31
"2020-11-06 14:24:27",6,4,0,819
"2020-11-06 14:38:06",6,2,0,1323
"2020-11-06 15:00:09",6,3,0,614
"2020-11-06 15:10:23",6,2,0,1141
"2020-11-06 15:29:24",6,3,0,711
"2020-11-06 15:41:15",6,2,1,59
"2020-11-06 15:42:14",6,3,1,760
"2020-11-06 15:54:54",6,2,1,36
"2020-11-06 15:55:30",6,3,0,357
"2020-11-07 08:00:27",7,2,0,15952
"2020-11-07 12:26:19",7,3,0,50
"2020-11-07 12:27:09",7,4,0,1
"2020-11-07 12:29:42",7,4,0,12674
"2020-11-08 00:00:02",1,2,0,115492
"2020-11-09 08:04:54",2,3,0,247
"2020-11-09 08:09:01",2,4,0,34
"2020-11-09 08:09:35",2,1,0,89
"2020-11-09 08:11:04",2,2,1,5
"2020-11-09 08:11:09",2,3,1,283
"2020-11-09 08:15:52",2,4,0,38
"2020-11-09 08:16:30",2,1,0,29
"2020-11-09 08:16:59",2,2,1,5
"2020-11-09 08:17:04",2,3,1,350
"2020-11-09 08:22:54",2,4,0,33
"2020-11-09 08:23:27",2,1,0,44
"2020-11-09 08:24:11",2,2,1,6
"2020-11-09 08:24:17",2,3,1,181
"2020-11-09 08:27:18",2,2,0,868
"2020-11-09 08:41:46",2,4,0,34
"2020-11-09 08:42:20",2,1,0,14
"2020-11-09 08:42:34",2,2,1,6
"2020-11-09 08:42:40",2,3,1,227
"2020-11-09 08:46:27",2,2,0,658
"2020-11-09 08:57:25",2,4,0,38
"2020-11-09 08:58:03",2,1,0,14
"2020-11-09 08:58:17",2,2,1,5
"2020-11-09 08:58:22",2,3,1,186
"2020-11-09 09:01:28",2,2,0,1009
"2020-11-09 09:18:17",2,4,0,35
"2020-11-09 09:18:52",2,1,0,14
"2020-11-09 09:19:06",2,2,1,5
"2020-11-09 09:19:11",2,3,1,264
"2020-11-09 09:23:35",2,2,0,1076
"2020-11-09 09:41:31",2,4,0,38
"2020-11-09 09:42:09",2,1,0,14
"2020-11-09 09:42:23",2,2,1,5
"2020-11-09 09:42:28",2,3,1,257
"2020-11-09 09:46:45",2,2,0,817
"2020-11-09 10:00:22",2,4,0,38
"2020-11-09 10:01:00",2,1,0,14
"2020-11-09 10:01:14",2,2,1,5
"2020-11-09 10:01:19",2,3,1,270
"2020-11-09 10:05:49",2,2,0,1029
"2020-11-09 10:22:58",2,4,0,34
"2020-11-09 10:23:32",2,1,0,14
"2020-11-09 10:23:46",2,2,1,5
"2020-11-09 10:23:51",2,3,1,316
"2020-11-09 10:29:07",2,2,0,8
"2020-11-09 10:29:15",2,1,0,2
"2020-11-09 10:29:17",2,2,0,9
"2020-11-09 10:29:26",2,1,0,4
"2020-11-09 10:29:30",2,3,0,5134
"2020-11-09 11:55:04",2,2,0,1360
"2020-11-09 12:17:44",2,4,0,38
"2020-11-09 12:18:22",2,1,0,14
"2020-11-09 12:18:36",2,2,1,5
"2020-11-09 12:18:41",2,3,1,262
"2020-11-09 12:23:03",2,2,0,6
"2020-11-09 12:23:09",2,1,0,865
"2020-11-09 12:37:34",2,2,0,38
"2020-11-09 12:38:12",2,4,0,34
"2020-11-09 12:38:46",2,1,0,13
"2020-11-09 12:38:59",2,2,1,6
"2020-11-09 12:39:05",2,3,1,215
"2020-11-09 12:42:40",2,2,0,552
"2020-11-09 12:51:52",2,4,0,35
"2020-11-09 12:52:27",2,1,0,14
"2020-11-09 12:52:41",2,2,1,5
"2020-11-09 12:52:46",2,3,1,1870
"2020-11-09 13:23:56",2,4,0,34
"2020-11-09 13:24:30",2,1,0,93
"2020-11-09 13:26:03",2,2,1,6
"2020-11-09 13:26:09",2,3,1,840
"2020-11-09 13:40:09",2,2,0,5
"2020-11-09 13:40:14",2,1,0,5
"2020-11-09 13:40:19",2,3,0,188
"2020-11-09 13:43:27",2,2,0,93
"2020-11-09 13:45:00",2,1,0,4
"2020-11-09 13:45:04",2,3,0,36935
"2020-11-10 08:00:49",3,2,0,46
"2020-11-10 08:01:35",3,4,0,33
"2020-11-10 08:02:08",3,1,0,14
"2020-11-10 08:02:22",3,2,1,5
"2020-11-10 08:02:27",3,3,1,228
"2020-11-10 08:06:15",3,2,0,898
"2020-11-10 08:21:13",3,4,0,35
"2020-11-10 08:21:48",3,1,0,13
"2020-11-10 08:22:01",3,2,1,6
"2020-11-10 08:22:07",3,3,1,49
"2020-11-10 08:22:56",3,4,0,6
"2020-11-10 08:23:02",3,1,0,26
"2020-11-10 08:23:28",3,2,1,5
"2020-11-10 08:23:33",3,3,1,774
"2020-11-10 08:36:27",3,2,0,61
"2020-11-10 08:37:28",3,4,0,36
"2020-11-10 08:38:04",3,1,0,13
"2020-11-10 08:38:17",3,2,1,5
"2020-11-10 08:38:22",3,3,1,658
"2020-11-10 08:49:20",3,2,0,5692
"2020-11-10 10:24:12",3,4,0,35
"2020-11-10 10:24:47",3,1,0,14
"2020-11-10 10:25:02",3,2,1,5
"2020-11-10 10:25:07",3,3,1,278
"2020-11-10 10:29:45",3,2,0,202
"2020-11-10 10:33:07",3,4,0,35
"2020-11-10 10:33:42",3,1,0,14
"2020-11-10 10:33:56",3,2,1,6
"2020-11-10 10:34:02",3,3,1,378
"2020-11-10 10:40:20",3,2,0,6
"2020-11-10 10:40:26",3,1,0,4
"2020-11-10 10:40:30",3,3,0,808
"2020-11-10 10:53:58",3,4,0,35
"2020-11-10 10:54:33",3,1,0,43
"2020-11-10 10:55:16",3,2,1,6
"2020-11-10 10:55:22",3,3,1,225
"2020-11-10 10:59:07",3,2,0,2371
"2020-11-10 11:38:38",3,4,0,37
"2020-11-10 11:39:15",3,1,0,15
"2020-11-10 11:39:30",3,2,1,5
"2020-11-10 11:39:35",3,3,1,687
"2020-11-10 11:51:02",3,4,0,34
"2020-11-10 11:51:36",3,1,0,50
"2020-11-10 11:52:26",3,2,1,6
"2020-11-10 11:52:32",3,3,1,326
"2020-11-10 11:57:58",3,2,0,8
"2020-11-10 11:58:06",3,1,0,4
"2020-11-10 11:58:10",3,3,0,14512
"2020-11-11 08:00:18",4,3,0,9840
"2020-11-11 10:44:18",4,4,0,33
"2020-11-11 10:44:51",4,1,0,83
"2020-11-11 10:46:14",4,2,1,5
"2020-11-11 10:46:19",4,3,1,92
"2020-11-11 10:47:51",4,4,0,3125
"2020-11-11 11:39:56",4,1,0,54
"2020-11-11 11:40:50",4,2,1,6
"2020-11-11 11:40:56",4,3,1,66
"2020-11-11 11:42:02",4,4,0,455
"2020-11-11 11:49:37",4,2,0,8
"2020-11-11 11:49:45",4,1,0,3
"2020-11-11 11:49:48",4,3,0,344
"2020-11-11 11:55:32",4,2,0,74
"2020-11-11 11:56:46",4,1,0,4
"2020-11-11 11:56:50",4,3,0,57
"2020-11-11 11:57:47",4,4,0,882
"2020-11-11 12:12:29",4,1,0,26
"2020-11-11 12:12:55",4,4,0,57
"2020-11-11 12:13:52",4,1,0,38
"2020-11-11 12:14:30",4,2,1,6
"2020-11-11 12:14:36",4,3,1,62
"2020-11-11 12:15:38",4,4,0,302
"2020-11-11 12:20:40",4,1,0,14
"2020-11-11 12:20:54",4,4,0,40
"2020-11-11 12:21:34",4,1,0,14
"2020-11-11 12:21:48",4,4,0,44
"2020-11-11 12:22:32",4,1,0,14
"2020-11-11 12:22:46",4,4,0,64
"2020-11-11 12:23:50",4,1,0,60
"2020-11-11 12:24:50",4,2,1,5
"2020-11-11 12:24:55",4,3,1,49
"2020-11-11 12:25:44",4,4,0,441
"2020-11-11 12:33:05",4,1,0,14
"2020-11-11 12:33:19",4,4,0,1419
"2020-11-11 12:56:58",4,1,0,26
"2020-11-11 12:57:24",4,4,0,36
"2020-11-11 12:58:00",4,1,0,58
"2020-11-11 12:58:58",4,2,1,5
"2020-11-11 12:59:03",4,3,1,276
"2020-11-11 13:03:39",4,4,0,1493
"2020-11-11 13:28:32",4,1,0,25
"2020-11-11 13:28:57",4,4,0,85
"2020-11-11 13:30:22",4,1,0,34
"2020-11-11 13:30:56",4,2,0,2289
"2020-11-11 14:09:05",4,1,0,5
"2020-11-11 14:09:10",4,2,0,189
"2020-11-11 14:12:19",4,1,0,4
"2020-11-11 14:12:23",4,3,0,4053
"2020-11-11 15:19:56",4,2,0,2086
"2020-11-11 15:54:42",4,3,0,89
"2020-11-11 15:56:11",4,4,0,45
"2020-11-11 15:56:56",4,1,0,26
"2020-11-11 15:57:22",4,4,0,97
"2020-11-11 15:58:59",4,1,0,37
"2020-11-11 15:59:36",4,2,1,20
"2020-11-11 15:59:56",4,3,0,172
"2020-11-12 08:00:31",5,4,0,655
"2020-11-12 08:11:57",5,1,0,14
"2020-11-12 08:12:11",5,4,0,147
"2020-11-12 08:14:38",5,1,0,26
"2020-11-12 08:15:04",5,4,0,3128
"2020-11-12 09:07:12",5,1,0,21
"2020-11-12 09:07:33",5,4,0,119
"2020-11-12 09:09:32",5,1,0,27
"2020-11-12 09:09:59",5,4,0,246
"2020-11-12 09:14:05",5,1,0,26
"2020-11-12 09:14:31",5,4,0,165
"2020-11-12 09:17:16",5,1,0,25
"2020-11-12 09:17:41",5,4,0,2207
"2020-11-12 09:54:28",5,1,0,27
"2020-10-20 09:43:51",3,3,0,4420
"2020-10-20 10:57:31",3,4,0,37
"2020-10-20 10:58:08",3,1,0,27
"2020-10-20 10:58:35",3,2,1,5
"2020-10-20 10:58:40",3,3,1,3785
"2020-10-20 12:01:45",3,4,0,35
"2020-10-20 12:02:20",3,1,0,24
"2020-10-20 12:02:44",3,2,1,5
